id,title,source_title,description,has_bar_chart,has_line_chart
1000,PRESIDENT AND VICE PRESIDENT,PRESIDENT AND VICE PRESIDENT,,True,False
1120,UNITED STATES REPRESENTATIVE 38th District,UNITED STATES REPRESENTATIVE 38th District,,True,False
1130,UNITED STATES REPRESENTATIVE 39th District,UNITED STATES REPRESENTATIVE 39th District,,True,False
1140,UNITED STATES REPRESENTATIVE 45th District,UNITED STATES REPRESENTATIVE 45th District,,True,False
1150,UNITED STATES REPRESENTATIVE 46th District,UNITED STATES REPRESENTATIVE 46th District,,True,False
1160,UNITED STATES REPRESENTATIVE 47th District,UNITED STATES REPRESENTATIVE 47th District,,True,False
1170,UNITED STATES REPRESENTATIVE 48th District,UNITED STATES REPRESENTATIVE 48th District,,True,False
1180,UNITED STATES REPRESENTATIVE 49th District,UNITED STATES REPRESENTATIVE 49th District,,True,False
1200,STATE SENATOR 29th District,STATE SENATOR 29th District,,True,False
1240,STATE SENATOR 37th District,STATE SENATOR 37th District,,True,False
1300,MEMBER OF THE STATE ASSEMBLY 55th District,MEMBER OF THE STATE ASSEMBLY 55th District,,True,False
1310,MEMBER OF THE STATE ASSEMBLY 65th District,MEMBER OF THE STATE ASSEMBLY 65th District,,True,False
1320,MEMBER OF THE STATE ASSEMBLY 68th District,MEMBER OF THE STATE ASSEMBLY 68th District,,True,False
1330,MEMBER OF THE STATE ASSEMBLY 69th District,MEMBER OF THE STATE ASSEMBLY 69th District,,True,False
1340,MEMBER OF THE STATE ASSEMBLY 72nd District,MEMBER OF THE STATE ASSEMBLY 72nd District,,True,False
1350,MEMBER OF THE STATE ASSEMBLY 73rd District,MEMBER OF THE STATE ASSEMBLY 73rd District,,True,False
1360,MEMBER OF THE STATE ASSEMBLY 74th District,MEMBER OF THE STATE ASSEMBLY 74th District,,True,False
3037,NORTH OC COMMUNITY COLLEGE DISTRICT — Trustee Area 4,"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 4",Governing Board Member,True,False
3038,NORTH OC COMMUNITY COLLEGE DISTRICT — Trustee Area 5,"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 5",Governing Board Member,True,False
3040,NORTH OC COMMUNITY COLLEGE DISTRICT — Trustee Area 7,"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 7",Governing Board Member,True,False
3043,COAST COMMUNITY COLLEGE DISTRICT — Trustee Area 2,"COAST COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 2",Governing Board Member,True,False
3045,COAST COMMUNITY COLLEGE DISTRICT — Trustee Area 4,"COAST COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 4",Governing Board Member,True,False
3052,RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT — Trustee Area 3,"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 3",Governing Board Member,True,False
3054,RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT — Trustee Area 5,"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 5",Governing Board Member,True,False
3056,RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT — Trustee Area 7,"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 7",Governing Board Member,True,False
3058,SOUTH OC COMMUNITY COLLEGE DISTRICT — Trustee Area 1,"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 1",Governing Board Member,True,False
3063,SOUTH OC COMMUNITY COLLEGE DISTRICT — Trustee Area 6,"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 6",Governing Board Member,True,False
3064,SOUTH OC COMMUNITY COLLEGE DISTRICT — Trustee Area 7,"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 7",Governing Board Member,True,False
3105,BREA OLINDA UNIFIED SCHOOL DISTRICT — Trustee Area 5,"BREA OLINDA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area 5",Governing Board Member,True,False
3112,CAPISTRANO UNIFIED SCHOOL DISTRICT — Trustee Area 2,"CAPISTRANO UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area 2",Governing Board Member,True,False
3113,CAPISTRANO UNIFIED SCHOOL DISTRICT — Trustee Area 3,"CAPISTRANO UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area 3",Governing Board Member,True,False
3115,CAPISTRANO UNIFIED SCHOOL DISTRICT — Trustee Area 5,"CAPISTRANO UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area 5",Governing Board Member,True,False
3123,GARDEN GROVE UNIFIED SCHOOL DISTRICT — Trustee Area 1,"GARDEN GROVE UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area 1",Governing Board Member,True,False
3127,GARDEN GROVE UNIFIED SCHOOL DISTRICT — Trustee Area 5,"GARDEN GROVE UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area 5",Governing Board Member,True,False
